,sha,message,issues,files
84,6fb47867ef068aab0b6cca76dda66a3b370e15e0,Fixes #158948 (#164439),,"['src/vs/workbench/contrib/mergeEditor/browser/view/mergeEditor.ts', 'src/vs/workbench/contrib/mergeEditor/browser/view/viewModel.ts']"
85,0492b9237f0b5edae948a27bcdf03b259f55ef97,Fixes #158207 (#164388),,['src/vs/editor/common/services/languagesRegistry.ts']
86,0091bcae2080e702ab91e39ed342977a018ef18d,Fixes #164073 (#164384),,['extensions/github-authentication/src/githubServer.ts']
87,f1eae1a44df75482c83f2d47f659c8d088e08a4a,Fixes #163253 (#164378),,['src/vs/workbench/services/extensionManagement/browser/webExtensionsScannerService.ts']
88,314bda9e3d35e3fea9e9600721697a4f58cef756,Fix disable privileged ports for OSX (#163890),,"['src/vs/base/node/ports.ts', 'src/vs/platform/tunnel/common/tunnel.ts', 'src/vs/platform/tunnel/node/tunnelService.ts', 'src/vs/workbench/contrib/remote/browser/remoteExplorer.ts', 'src/vs/workbench/services/tunnel/browser/tunnelService.ts', 'src/vs/workbench/services/tunnel/electron-sandbox/tunnelService.ts']"
89,231d74daf6ade480ae1a43f73063bfda03d6fd05,Fix rendering of the editor.wrappingIndent setting (#164280),,['src/vs/editor/common/config/editorOptions.ts']
90,5c76d774a14057c2964ba400fbf8059dfe3ab9ec,Fixes #162814 (#164229),,"['src/vs/editor/common/model/bracketPairsTextModelPart/bracketPairsTree/bracketPairsTree.ts', 'src/vs/editor/test/common/model/bracketPairColorizer/getBracketPairsInRange.test.ts']"
91,bfedd52034fd7003969ee621a887ca5da57d3e7d,Fix buggy error cleaning (#164175),,"['src/vs/platform/telemetry/common/telemetryService.ts', 'src/vs/platform/telemetry/common/telemetryUtils.ts', 'src/vs/workbench/services/telemetry/electron-sandbox/telemetryService.ts']"
92,c5832ef33cc90676c9b392a1031a094a5d602afc,Fixes #159995 (#164226),,"['src/vs/editor/common/model/bracketPairsTextModelPart/bracketPairsTree/bracketPairsTree.ts', 'src/vs/editor/test/common/model/bracketPairColorizer/getBracketPairsInRange.test.ts']"
93,ad04aabdbe0550b6f3a92318025076ecb2f63da0,Fixes #163969 (#164221),,['src/vs/editor/contrib/inlineCompletions/browser/inlineCompletionsModel.ts']
94,bb39eb50fd28652489b3baf81bf4f2397919f7a8,Fix open preview for ipv6 addresses (#164156),,['src/vs/workbench/contrib/remote/browser/tunnelView.ts']
