SHA,Message
f37b4817a85cf709842dc2bf61ce785b772e6eea,"ðŸŽ Add ""Remove expression"" as an action bar command to debug watch expressions (#152861)"
4878dfa5a1b4fd9856f10c5089aeb4bb218975c2,After running extension tests
08a46984d6dd1575bb89e0888f09310a31cd2624,SCM - Add capability to disable the SCM action button (#152849)
46f9aab70beba4851fda6eb668f7ebbf73c074ac,Add envMixin changes to tests
ead690ec7b1855aa90b8ee67688c09d25fa17d61,Allow manual install for pwsh
1fe0c4cda4968a1043d4b9766d9181d569e7b58e,tranform snippet into normal text whenever a snippet edit cannot be performed
322bca15d91bbf404c4a5e363604f8f89f8f7f8e,Show toggle size to content width in command palette
341945ef1fb342b74b0d5e62b9a0c2cca91d03b5,Addresses feedback from PR.
bcb2c6f8ee7c1e363eca811f0cf47ab83892ad9d,Create a regular profile to work better on CI
c573acb2f52324f7257b41129891c2f30f34462d,Move some term keys back to application scope
0df6031d301c397c58a4c9bba35bd1c4d5a3d9c2,Remove comments/logs
e438d4d721ac88d6c87bc806cf7e1cae0df81a5c,Rename `StorageScope.Global` to `Profile` (#152703)
b648d44ebfff2e595a6742750d033a979fcb68a5,remove top/bottom margin from CC so that window can be dragged (#152710)
0e9a131874595890a40ce8a50c6c5f0ba74ae086,adopt to application scope (#152708)
2249b171f4d689a2b4cb33119a293635846152c1,Reduce number of times MD docs are re-tokenized (#152674)
